,task,condition,ocd_help,ocd_performance,ocd_productivity,ocd_effectiveness,ocd_easiness,ocd_usefulness,learn_ocd,ocd_tasks_help,ocd_interaction,ocd_skills,ocd_debugging,ocd_use,ocd_future,ocd_over_classical,education,job_position,program_exp,pharo_exp,code_frequency,pharo_frequency,debugger_familiarity,debugger_ocd_familarity,correctness,validity,time_in_seconds,actions,task_easiness,task_length,task_interruption,bug_found,debugger_help,debugger_enjoy,debugger_efficient,debugger_intuitive,debugger_easiness,debugger_learn
task,1.0,-0.05,0.16,0.17,0.15,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.19,0.12,0.2,0.13,0.21,0.16,0.2,0.15,0.12,0.3,0.05,0.18,-0.02,0.26,0.15,0.17,-0.05,-0.02,-0.07,0.01,-0.05,0.03
condition,-0.05,1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.19,-0.18,-0.08,-0.07,-0.1,-0.1,-0.04,0.06,0.22,0.18,0.16,0.19,0.16,0.21
ocd_help,0.16,-0.0,1.0,0.96,0.79,0.86,0.82,0.86,0.83,0.8,0.78,0.78,0.74,0.74,0.79,0.74,0.32,0.1,0.27,0.14,0.4,0.32,0.24,0.19,0.32,0.41,-0.18,0.1,0.48,0.5,0.35,0.65,0.36,0.34,0.36,0.42,0.33,0.37
ocd_performance,0.17,-0.0,0.96,1.0,0.81,0.84,0.8,0.85,0.77,0.77,0.75,0.75,0.73,0.71,0.79,0.74,0.33,0.07,0.28,0.14,0.39,0.33,0.22,0.18,0.29,0.42,-0.16,0.13,0.45,0.54,0.34,0.63,0.33,0.29,0.33,0.39,0.3,0.34
ocd_productivity,0.15,0.0,0.79,0.81,1.0,0.89,0.84,0.87,0.81,0.81,0.8,0.79,0.8,0.77,0.83,0.78,0.23,0.08,0.21,0.08,0.43,0.4,0.21,0.15,0.3,0.4,-0.14,0.07,0.44,0.46,0.38,0.58,0.37,0.31,0.3,0.35,0.27,0.36
ocd_effectiveness,0.16,-0.0,0.86,0.84,0.89,1.0,0.9,0.93,0.89,0.86,0.85,0.84,0.83,0.82,0.88,0.81,0.34,0.12,0.25,0.13,0.46,0.38,0.29,0.19,0.33,0.44,-0.16,0.08,0.49,0.53,0.45,0.65,0.41,0.34,0.35,0.42,0.32,0.4
ocd_easiness,0.17,0.0,0.82,0.8,0.84,0.9,1.0,0.92,0.86,0.81,0.82,0.81,0.8,0.79,0.84,0.79,0.26,0.03,0.22,0.05,0.42,0.34,0.24,0.16,0.29,0.4,-0.17,0.04,0.47,0.47,0.37,0.67,0.41,0.42,0.37,0.44,0.37,0.46
ocd_usefulness,0.17,0.0,0.86,0.85,0.87,0.93,0.92,1.0,0.92,0.89,0.88,0.86,0.86,0.86,0.9,0.81,0.33,0.12,0.25,0.14,0.45,0.36,0.29,0.22,0.33,0.42,-0.19,0.09,0.5,0.51,0.45,0.69,0.46,0.42,0.42,0.49,0.41,0.48
learn_ocd,0.16,0.0,0.83,0.77,0.81,0.89,0.86,0.92,1.0,0.9,0.88,0.91,0.86,0.88,0.84,0.75,0.35,0.21,0.26,0.2,0.44,0.29,0.33,0.3,0.36,0.41,-0.2,0.02,0.54,0.47,0.45,0.68,0.46,0.46,0.44,0.49,0.42,0.51
ocd_tasks_help,0.15,0.0,0.8,0.77,0.81,0.86,0.81,0.89,0.9,1.0,0.91,0.9,0.86,0.89,0.84,0.75,0.27,0.14,0.18,0.16,0.39,0.32,0.25,0.26,0.38,0.41,-0.16,0.08,0.48,0.45,0.46,0.66,0.47,0.45,0.46,0.51,0.44,0.5
ocd_interaction,0.15,0.0,0.78,0.75,0.8,0.85,0.82,0.88,0.88,0.91,1.0,0.89,0.87,0.88,0.83,0.78,0.31,0.2,0.23,0.13,0.42,0.32,0.27,0.2,0.4,0.42,-0.14,0.01,0.52,0.48,0.49,0.7,0.51,0.5,0.49,0.54,0.45,0.5
ocd_skills,0.15,0.0,0.78,0.75,0.79,0.84,0.81,0.86,0.91,0.9,0.89,1.0,0.86,0.85,0.82,0.73,0.34,0.21,0.26,0.21,0.4,0.27,0.33,0.29,0.4,0.41,-0.17,0.02,0.5,0.46,0.43,0.66,0.42,0.4,0.4,0.46,0.39,0.45
ocd_debugging,0.15,0.0,0.74,0.73,0.8,0.83,0.8,0.86,0.86,0.86,0.87,0.86,1.0,0.95,0.9,0.8,0.27,0.14,0.2,0.18,0.43,0.29,0.3,0.21,0.37,0.41,-0.12,0.07,0.45,0.47,0.4,0.62,0.44,0.41,0.4,0.46,0.38,0.47
ocd_use,0.15,0.0,0.74,0.71,0.77,0.82,0.79,0.86,0.88,0.89,0.88,0.85,0.95,1.0,0.89,0.79,0.28,0.19,0.21,0.23,0.42,0.33,0.28,0.24,0.38,0.41,-0.15,0.05,0.47,0.46,0.41,0.64,0.46,0.46,0.44,0.49,0.44,0.5
ocd_future,0.15,0.0,0.79,0.79,0.83,0.88,0.84,0.9,0.84,0.84,0.83,0.82,0.9,0.89,1.0,0.86,0.28,0.14,0.18,0.15,0.41,0.36,0.25,0.17,0.39,0.44,-0.12,0.13,0.45,0.52,0.4,0.63,0.4,0.37,0.38,0.44,0.35,0.44
ocd_over_classical,0.14,0.0,0.74,0.74,0.78,0.81,0.79,0.81,0.75,0.75,0.78,0.73,0.8,0.79,0.86,1.0,0.26,0.19,0.17,0.04,0.38,0.33,0.2,0.17,0.33,0.4,-0.08,0.1,0.39,0.48,0.34,0.59,0.38,0.37,0.33,0.38,0.34,0.42
education,0.19,-0.0,0.32,0.33,0.23,0.34,0.26,0.33,0.35,0.27,0.31,0.34,0.27,0.28,0.28,0.26,1.0,0.54,0.54,0.47,0.3,0.13,0.45,0.3,0.3,0.39,-0.22,-0.09,0.32,0.28,0.27,0.44,0.27,0.27,0.28,0.27,0.3,0.28
job_position,0.12,0.0,0.1,0.07,0.08,0.12,0.03,0.12,0.21,0.14,0.2,0.21,0.14,0.19,0.14,0.19,0.54,1.0,0.64,0.64,0.4,0.29,0.6,0.38,0.3,0.27,-0.3,-0.23,0.31,0.17,0.11,0.36,0.18,0.24,0.25,0.16,0.21,0.23
program_exp,0.2,0.0,0.27,0.28,0.21,0.25,0.22,0.25,0.26,0.18,0.23,0.26,0.2,0.21,0.18,0.17,0.54,0.64,1.0,0.74,0.61,0.46,0.74,0.52,0.3,0.41,-0.4,-0.15,0.34,0.26,0.18,0.38,0.16,0.19,0.18,0.14,0.15,0.17
pharo_exp,0.13,-0.0,0.14,0.14,0.08,0.13,0.05,0.14,0.2,0.16,0.13,0.21,0.18,0.23,0.15,0.04,0.47,0.64,0.74,1.0,0.4,0.37,0.55,0.45,0.27,0.35,-0.32,-0.12,0.31,0.15,0.06,0.29,0.17,0.19,0.2,0.17,0.19,0.2
code_frequency,0.21,-0.0,0.4,0.39,0.43,0.46,0.42,0.45,0.44,0.39,0.42,0.4,0.43,0.42,0.41,0.38,0.3,0.4,0.61,0.4,1.0,0.8,0.67,0.44,0.29,0.46,-0.47,-0.08,0.44,0.24,0.31,0.42,0.22,0.17,0.21,0.19,0.2,0.25
pharo_frequency,0.16,0.0,0.32,0.33,0.4,0.38,0.34,0.36,0.29,0.32,0.32,0.27,0.29,0.33,0.36,0.33,0.13,0.29,0.46,0.37,0.8,1.0,0.48,0.34,0.19,0.35,-0.38,-0.11,0.36,0.18,0.23,0.31,0.21,0.14,0.17,0.18,0.15,0.19
debugger_familiarity,0.2,-0.0,0.24,0.22,0.21,0.29,0.24,0.29,0.33,0.25,0.27,0.33,0.3,0.28,0.25,0.2,0.45,0.6,0.74,0.55,0.67,0.48,1.0,0.64,0.32,0.45,-0.35,-0.08,0.42,0.21,0.27,0.38,0.27,0.23,0.25,0.2,0.2,0.25
debugger_ocd_familarity,0.15,0.0,0.19,0.18,0.15,0.19,0.16,0.22,0.3,0.26,0.2,0.29,0.21,0.24,0.17,0.17,0.3,0.38,0.52,0.45,0.44,0.34,0.64,1.0,0.15,0.26,-0.3,0.01,0.36,0.17,0.24,0.3,0.26,0.2,0.19,0.18,0.23,0.26
correctness,0.12,-0.19,0.32,0.29,0.3,0.33,0.29,0.33,0.36,0.38,0.4,0.4,0.37,0.38,0.39,0.33,0.3,0.3,0.3,0.27,0.29,0.19,0.32,0.15,1.0,0.67,0.09,0.03,0.43,0.22,0.26,0.49,0.31,0.34,0.35,0.35,0.35,0.36
validity,0.3,-0.18,0.41,0.42,0.4,0.44,0.4,0.42,0.41,0.41,0.42,0.41,0.41,0.41,0.44,0.4,0.39,0.27,0.41,0.35,0.46,0.35,0.45,0.26,0.67,1.0,-0.21,0.1,0.46,0.3,0.33,0.46,0.28,0.29,0.28,0.29,0.23,0.28
time_in_seconds,0.05,-0.08,-0.18,-0.16,-0.14,-0.16,-0.17,-0.19,-0.2,-0.16,-0.14,-0.17,-0.12,-0.15,-0.12,-0.08,-0.22,-0.3,-0.4,-0.32,-0.47,-0.38,-0.35,-0.3,0.09,-0.21,1.0,0.45,-0.39,0.2,-0.07,-0.1,-0.01,-0.07,-0.12,-0.04,-0.03,-0.04
actions,0.18,-0.07,0.1,0.13,0.07,0.08,0.04,0.09,0.02,0.08,0.01,0.02,0.07,0.05,0.13,0.1,-0.09,-0.23,-0.15,-0.12,-0.08,-0.11,-0.08,0.01,0.03,0.1,0.45,1.0,-0.1,0.24,0.01,0.05,0.11,0.04,0.04,0.09,0.06,0.05
task_easiness,-0.02,-0.1,0.48,0.45,0.44,0.49,0.47,0.5,0.54,0.48,0.52,0.5,0.45,0.47,0.45,0.39,0.32,0.31,0.34,0.31,0.44,0.36,0.42,0.36,0.43,0.46,-0.39,-0.1,1.0,0.13,0.36,0.57,0.43,0.46,0.5,0.48,0.48,0.43
task_length,0.26,-0.1,0.5,0.54,0.46,0.53,0.47,0.51,0.47,0.45,0.48,0.46,0.47,0.46,0.52,0.48,0.28,0.17,0.26,0.15,0.24,0.18,0.21,0.17,0.22,0.3,0.2,0.24,0.13,1.0,0.41,0.48,0.2,0.19,0.12,0.15,0.1,0.18
task_interruption,0.15,-0.04,0.35,0.34,0.38,0.45,0.37,0.45,0.45,0.46,0.49,0.43,0.4,0.41,0.4,0.34,0.27,0.11,0.18,0.06,0.31,0.23,0.27,0.24,0.26,0.33,-0.07,0.01,0.36,0.41,1.0,0.45,0.3,0.29,0.25,0.28,0.29,0.28
bug_found,0.17,0.06,0.65,0.63,0.58,0.65,0.67,0.69,0.68,0.66,0.7,0.66,0.62,0.64,0.63,0.59,0.44,0.36,0.38,0.29,0.42,0.31,0.38,0.3,0.49,0.46,-0.1,0.05,0.57,0.48,0.45,1.0,0.67,0.72,0.71,0.71,0.7,0.72
debugger_help,-0.05,0.22,0.36,0.33,0.37,0.41,0.41,0.46,0.46,0.47,0.51,0.42,0.44,0.46,0.4,0.38,0.27,0.18,0.16,0.17,0.22,0.21,0.27,0.26,0.31,0.28,-0.01,0.11,0.43,0.2,0.3,0.67,1.0,0.84,0.85,0.83,0.8,0.8
debugger_enjoy,-0.02,0.18,0.34,0.29,0.31,0.34,0.42,0.42,0.46,0.45,0.5,0.4,0.41,0.46,0.37,0.37,0.27,0.24,0.19,0.19,0.17,0.14,0.23,0.2,0.34,0.29,-0.07,0.04,0.46,0.19,0.29,0.72,0.84,1.0,0.9,0.83,0.85,0.84
debugger_efficient,-0.07,0.16,0.36,0.33,0.3,0.35,0.37,0.42,0.44,0.46,0.49,0.4,0.4,0.44,0.38,0.33,0.28,0.25,0.18,0.2,0.21,0.17,0.25,0.19,0.35,0.28,-0.12,0.04,0.5,0.12,0.25,0.71,0.85,0.9,1.0,0.87,0.9,0.84
debugger_intuitive,0.01,0.19,0.42,0.39,0.35,0.42,0.44,0.49,0.49,0.51,0.54,0.46,0.46,0.49,0.44,0.38,0.27,0.16,0.14,0.17,0.19,0.18,0.2,0.18,0.35,0.29,-0.04,0.09,0.48,0.15,0.28,0.71,0.83,0.83,0.87,1.0,0.86,0.85
debugger_easiness,-0.05,0.16,0.33,0.3,0.27,0.32,0.37,0.41,0.42,0.44,0.45,0.39,0.38,0.44,0.35,0.34,0.3,0.21,0.15,0.19,0.2,0.15,0.2,0.23,0.35,0.23,-0.03,0.06,0.48,0.1,0.29,0.7,0.8,0.85,0.9,0.86,1.0,0.88
debugger_learn,0.03,0.21,0.37,0.34,0.36,0.4,0.46,0.48,0.51,0.5,0.5,0.45,0.47,0.5,0.44,0.42,0.28,0.23,0.17,0.2,0.25,0.19,0.25,0.26,0.36,0.28,-0.04,0.05,0.43,0.18,0.28,0.72,0.8,0.84,0.84,0.85,0.88,1.0
